t,x,y
5.200,2.937,2.971
5.220,2.638,2.871
5.240,2.385,2.817
5.260,2.248,2.870
5.280,2.140,2.990
5.300,2.067,3.191
5.320,2.045,3.379
5.340,2.046,3.554
5.360,2.137,3.636
5.380,2.249,3.733
5.400,2.386,3.847
5.420,2.604,3.987
5.440,2.843,4.128
5.460,3.080,4.224
5.480,3.274,4.269
5.500,3.415,4.251
5.520,3.436,4.173
5.540,3.421,4.071
5.560,3.353,3.893
5.580,3.212,3.708
5.600,2.984,3.517
5.620,2.762,3.368
5.640,2.545,3.238
5.660,2.372,3.174
5.680,2.197,3.180
5.700,2.020,3.271
5.720,1.825,3.417
5.740,1.632,3.571
5.760,1.491,3.671
5.780,1.383,3.751
5.800,1.314,3.806
5.820,1.290,3.828
5.840,1.277,3.820
5.860,1.267,3.620
5.880,1.258,3.406
5.900,1.249,3.176
5.920,1.261,2.971
5.940,1.272,2.781
5.960,1.226,2.639
5.980,1.165,2.527
6.000,1.086,2.452
6.020,1.073,2.498
6.040,1.087,2.586
6.060,1.147,2.690
6.080,1.203,2.780
6.100,1.257,2.851
6.120,1.349,2.896
6.140,1.452,2.928
6.160,1.538,2.919
6.180,1.604,2.919
6.200,1.644,2.932
6.220,1.668,2.939
6.240,1.685,2.945
6.260,1.689,2.958
6.280,1.664,2.940
6.300,1.602,2.882
6.320,1.544,2.871
6.340,1.487,2.876
6.360,1.441,2.885
6.380,1.399,2.891
6.400,1.362,2.891
6.420,1.327,2.901
6.440,1.294,2.917
6.460,1.322,2.986
6.480,1.351,3.045
6.500,1.383,3.091
6.520,1.401,3.116
6.540,1.414,3.133
6.560,1.427,3.138
6.580,1.439,3.139
6.600,1.448,3.134
6.620,1.450,3.136
6.640,1.450,3.138
6.660,1.455,3.097
6.680,1.481,3.060
6.700,1.540,3.028
6.720,1.592,3.010
6.740,1.640,2.998
6.760,1.663,3.012
6.780,1.682,3.053
6.800,1.696,3.135
6.820,1.703,3.236
6.840,1.704,3.340
6.860,1.645,3.404
6.880,1.583,3.469
6.900,1.517,3.535
