t,x,y
4.980,-9.399,6.093
5.000,-9.358,6.317
5.020,-9.325,6.584
5.040,-9.348,6.916
5.060,-9.402,7.284
5.080,-9.501,7.472
5.100,-9.629,7.657
5.120,-9.821,7.858
5.140,-10.022,7.970
5.160,-10.229,8.035
5.180,-10.507,8.017
5.200,-10.802,7.948
5.220,-11.129,7.770
5.240,-11.450,7.651
5.260,-11.768,7.564
5.280,-12.096,7.485
5.300,-12.418,7.349
5.320,-12.727,7.079
5.340,-13.082,6.925
5.360,-13.468,6.847
5.380,-13.921,6.811
5.400,-14.364,6.769
5.420,-14.775,6.704
5.440,-15.221,6.731
5.460,-15.692,6.821
5.480,-16.218,7.121
5.500,-16.716,7.382
5.520,-17.142,7.523
5.540,-17.521,7.740
5.560,-17.869,8.007
5.580,-18.218,8.233
5.600,-18.581,8.441
5.620,-18.980,8.615
5.640,-19.443,8.792
5.660,-19.949,8.971
5.680,-20.443,9.073
5.700,-20.955,9.155
5.720,-21.525,9.189
5.740,-22.060,9.242
5.760,-22.572,9.309
5.780,-22.961,9.282
5.800,-23.318,9.246
5.820,-23.596,9.202
5.840,-23.808,9.238
5.860,-23.976,9.327
5.880,-24.029,9.446
5.900,-24.086,9.578
5.920,-24.170,9.747
5.940,-24.285,9.949
5.960,-24.419,10.174
5.980,-24.606,10.434
6.000,-24.828,10.686
6.020,-25.146,10.912
6.040,-25.495,11.153
6.060,-25.864,11.404
6.080,-26.290,11.592
6.100,-26.719,11.784
6.120,-27.141,12.010
6.140,-27.550,12.219
6.160,-27.950,12.417
6.180,-28.386,12.640
6.200,-28.811,12.833
6.220,-29.189,12.924
6.240,-29.495,12.993
6.260,-29.753,13.048
6.280,-29.973,13.063
6.300,-30.175,13.071
6.320,-30.337,13.071
6.340,-30.474,13.071
6.360,-30.590,13.071
6.380,-30.823,13.215
6.400,-31.082,13.398
6.420,-31.384,13.653
6.440,-31.721,13.924
6.460,-32.086,14.209
6.480,-32.513,14.474
6.500,-32.960,14.757
6.520,-33.448,15.101
6.540,-33.918,15.338
6.560,-34.372,15.487
6.580,-34.903,15.606
6.600,-35.451,15.720
6.620,-36.022,15.831
6.640,-36.575,15.964
6.660,-37.113,16.113
6.680,-37.555,16.240
