t,x,y
4.825,-0.515,-5.381
4.845,-0.535,-5.434
4.865,-0.525,-5.477
4.885,-0.493,-5.497
4.905,-0.466,-5.504
4.925,-0.455,-5.500
4.945,-0.466,-5.496
4.965,-0.503,-5.495
4.985,-0.554,-5.509
5.005,-0.601,-5.538
5.025,-0.630,-5.573
5.045,-0.634,-5.608
5.065,-0.615,-5.642
5.085,-0.583,-5.668
5.105,-0.535,-5.685
5.125,-0.479,-5.693
5.145,-0.430,-5.697
5.165,-0.395,-5.693
5.185,-0.383,-5.686
5.205,-0.407,-5.677
5.225,-0.474,-5.675
5.245,-0.562,-5.678
5.265,-0.650,-5.690
5.285,-0.721,-5.700
5.305,-0.771,-5.696
5.325,-0.790,-5.668
5.345,-0.778,-5.620
5.365,-0.746,-5.561
5.385,-0.693,-5.503
5.405,-0.608,-5.472
5.425,-0.494,-5.476
5.445,-0.372,-5.505
5.465,-0.251,-5.545
5.485,-0.136,-5.594
5.506,-0.038,-5.634
5.526,0.033,-5.653
5.546,0.096,-5.656
5.566,0.154,-5.650
5.586,0.205,-5.634
5.606,0.242,-5.615
5.626,0.266,-5.613
5.646,0.267,-5.627
5.666,0.229,-5.654
5.686,0.160,-5.693
5.706,0.077,-5.739
5.726,-0.012,-5.779
5.746,-0.091,-5.814
5.766,-0.121,-5.855
5.786,-0.109,-5.907
5.806,-0.065,-5.970
5.826,0.007,-6.046
5.846,0.089,-6.137
5.866,0.152,-6.217
5.886,0.195,-6.279
5.906,0.221,-6.318
5.926,0.233,-6.334
5.946,0.245,-6.323
5.966,0.265,-6.304
5.986,0.294,-6.289
6.006,0.326,-6.286
6.026,0.356,-6.295
6.046,0.365,-6.316
6.066,0.354,-6.343
6.086,0.319,-6.365
6.106,0.266,-6.383
6.126,0.203,-6.407
6.146,0.143,-6.442
6.166,0.095,-6.489
6.186,0.065,-6.549
6.206,0.055,-6.613
6.226,0.065,-6.668
6.246,0.091,-6.697
6.266,0.129,-6.702
6.286,0.174,-6.684
6.306,0.218,-6.649
6.326,0.244,-6.603
6.346,0.244,-6.571
6.366,0.212,-6.552
6.386,0.140,-6.546
6.406,0.033,-6.549
6.426,-0.077,-6.559
6.446,-0.171,-6.564
6.466,-0.233,-6.562
6.486,-0.251,-6.567
6.507,-0.218,-6.585
6.527,-0.149,-6.615
6.547,-0.065,-6.662
6.567,0.015,-6.726
6.587,0.080,-6.786
6.607,0.127,-6.836
6.627,0.149,-6.878
6.647,0.164,-6.904
6.667,0.184,-6.908
6.687,0.215,-6.904
6.707,0.252,-6.909
6.727,0.297,-6.924
6.747,0.333,-6.964
6.767,0.355,-7.039
6.787,0.363,-7.142
6.807,0.357,-7.245
6.827,0.347,-7.338
6.847,0.342,-7.411
6.867,0.345,-7.459
6.887,0.356,-7.494
6.907,0.377,-7.527
6.927,0.397,-7.568
6.947,0.412,-7.614
6.967,0.426,-7.668
6.987,0.438,-7.720
7.007,0.450,-7.768
7.027,0.465,-7.809
7.047,0.481,-7.845
7.067,0.495,-7.873
7.087,0.500,-7.891
7.107,0.486,-7.902
7.127,0.450,-7.912
7.147,0.389,-7.921
7.167,0.280,-7.937
7.187,0.128,-7.967
7.207,-0.049,-8.013
7.227,-0.214,-8.062
7.247,-0.355,-8.109
7.267,-0.413,-8.147
