t,x,y
4.825,-5.381,-0.515
4.845,-5.434,-0.535
4.865,-5.477,-0.525
4.885,-5.497,-0.493
4.905,-5.504,-0.466
4.925,-5.500,-0.455
4.945,-5.496,-0.466
4.965,-5.495,-0.503
4.985,-5.509,-0.554
5.005,-5.538,-0.601
5.025,-5.573,-0.630
5.045,-5.608,-0.634
5.065,-5.642,-0.615
5.085,-5.668,-0.583
5.105,-5.685,-0.535
5.125,-5.693,-0.479
5.145,-5.697,-0.430
5.165,-5.693,-0.395
5.185,-5.686,-0.383
5.205,-5.677,-0.407
5.225,-5.675,-0.474
5.245,-5.678,-0.562
5.265,-5.690,-0.650
5.285,-5.700,-0.721
5.305,-5.696,-0.771
5.325,-5.668,-0.790
5.345,-5.620,-0.778
5.365,-5.561,-0.746
5.385,-5.503,-0.693
5.405,-5.472,-0.608
5.425,-5.476,-0.494
5.445,-5.505,-0.372
5.465,-5.545,-0.251
5.485,-5.594,-0.136
5.506,-5.634,-0.038
5.526,-5.653,0.033
5.546,-5.656,0.096
5.566,-5.650,0.154
5.586,-5.634,0.205
5.606,-5.615,0.242
5.626,-5.613,0.266
5.646,-5.627,0.267
5.666,-5.654,0.229
5.686,-5.693,0.160
5.706,-5.739,0.077
5.726,-5.779,-0.012
5.746,-5.814,-0.091
5.766,-5.855,-0.121
5.786,-5.907,-0.109
5.806,-5.970,-0.065
5.826,-6.046,0.007
5.846,-6.137,0.089
5.866,-6.217,0.152
5.886,-6.279,0.195
5.906,-6.318,0.221
5.926,-6.334,0.233
5.946,-6.323,0.245
5.966,-6.304,0.265
5.986,-6.289,0.294
6.006,-6.286,0.326
6.026,-6.295,0.356
6.046,-6.316,0.365
6.066,-6.343,0.354
6.086,-6.365,0.319
6.106,-6.383,0.266
6.126,-6.407,0.203
6.146,-6.442,0.143
6.166,-6.489,0.095
6.186,-6.549,0.065
6.206,-6.613,0.055
6.226,-6.668,0.065
6.246,-6.697,0.091
6.266,-6.702,0.129
6.286,-6.684,0.174
6.306,-6.649,0.218
6.326,-6.603,0.244
6.346,-6.571,0.244
6.366,-6.552,0.212
6.386,-6.546,0.140
6.406,-6.549,0.033
6.426,-6.559,-0.077
6.446,-6.564,-0.171
6.466,-6.562,-0.233
6.486,-6.567,-0.251
6.507,-6.585,-0.218
6.527,-6.615,-0.149
6.547,-6.662,-0.065
6.567,-6.726,0.015
6.587,-6.786,0.080
6.607,-6.836,0.127
6.627,-6.878,0.149
6.647,-6.904,0.164
6.667,-6.908,0.184
6.687,-6.904,0.215
6.707,-6.909,0.252
6.727,-6.924,0.297
6.747,-6.964,0.333
6.767,-7.039,0.355
6.787,-7.142,0.363
6.807,-7.245,0.357
6.827,-7.338,0.347
6.847,-7.411,0.342
6.867,-7.459,0.345
6.887,-7.494,0.356
6.907,-7.527,0.377
6.927,-7.568,0.397
6.947,-7.614,0.412
6.967,-7.668,0.426
6.987,-7.720,0.438
7.007,-7.768,0.450
7.027,-7.809,0.465
7.047,-7.845,0.481
7.067,-7.873,0.495
7.087,-7.891,0.500
7.107,-7.902,0.486
7.127,-7.912,0.450
7.147,-7.921,0.389
7.167,-7.937,0.280
7.187,-7.967,0.128
7.207,-8.013,-0.049
7.227,-8.062,-0.214
7.247,-8.109,-0.355
7.267,-8.147,-0.413
7.287,-8.172,-0.368
7.307,-8.174,-0.238
7.327,-8.165,-0.077
7.347,-8.147,0.102
7.367,-8.129,0.256
7.387,-8.118,0.346
7.407,-8.125,0.382
7.427,-8.149,0.393
7.447,-8.191,0.387
7.467,-8.249,0.375
7.487,-8.305,0.385
7.508,-8.352,0.408
7.528,-8.390,0.433
7.548,-8.418,0.449
7.568,-8.437,0.450
7.588,-8.461,0.431
7.608,-8.489,0.396
7.628,-8.517,0.356
7.648,-8.540,0.321
7.668,-8.556,0.298
7.688,-8.562,0.288
7.708,-8.555,0.289
7.728,-8.547,0.296
7.748,-8.541,0.304
7.768,-8.536,0.310
7.788,-8.532,0.313
7.808,-8.535,0.314
7.828,-8.537,0.314
7.848,-8.536,0.314
7.868,-8.539,0.314
7.888,-8.548,0.313
7.908,-8.560,0.310
7.928,-8.573,0.304
7.948,-8.595,0.296
7.968,-8.617,0.289
7.988,-8.638,0.288
8.008,-8.661,0.298
8.028,-8.690,0.321
8.048,-8.719,0.356
8.068,-8.748,0.396
8.088,-8.779,0.431
8.108,-8.811,0.450
8.128,-8.832,0.449
8.148,-8.850,0.433
8.168,-8.868,0.408
8.188,-8.885,0.385
8.208,-8.897,0.375
8.228,-8.906,0.387
8.248,-8.902,0.393
8.268,-8.879,0.382
8.288,-8.835,0.346
8.308,-8.771,0.256
8.328,-8.696,0.102
8.348,-8.621,-0.077
8.368,-8.551,-0.238
8.388,-8.495,-0.368
8.408,-8.464,-0.413
8.428,-8.451,-0.355
8.448,-8.450,-0.214
8.468,-8.463,-0.049
8.488,-8.488,0.128
8.509,-8.516,0.280
8.529,-8.553,0.389
8.549,-8.597,0.450
8.569,-8.639,0.486
8.589,-8.677,0.500
8.609,-8.709,0.495
8.629,-8.732,0.481
8.649,-8.750,0.465
8.669,-8.767,0.450
8.689,-8.785,0.438
8.709,-8.807,0.426
8.729,-8.833,0.412
8.749,-8.863,0.397
8.769,-8.895,0.377
8.789,-8.926,0.356
8.809,-8.957,0.345
8.829,-8.985,0.342
8.849,-9.005,0.347
8.869,-9.025,0.357
8.889,-9.046,0.363
8.909,-9.067,0.355
8.929,-9.087,0.333
8.949,-9.113,0.297
8.969,-9.142,0.252
8.989,-9.178,0.215
9.009,-9.218,0.184
9.029,-9.254,0.164
9.049,-9.279,0.149
9.069,-9.287,0.127
9.089,-9.275,0.080
9.109,-9.245,0.015
9.129,-9.222,-0.065
9.149,-9.210,-0.149
9.169,-9.216,-0.218
9.189,-9.246,-0.251
9.209,-9.294,-0.233
9.229,-9.337,-0.171
9.249,-9.369,-0.077
9.269,-9.382,0.033
9.289,-9.375,0.140
9.309,-9.357,0.212
9.329,-9.341,0.244
9.349,-9.340,0.244
9.369,-9.359,0.218
9.389,-9.396,0.174
9.409,-9.445,0.129
9.429,-9.505,0.091
9.449,-9.572,0.065
9.469,-9.629,0.055
9.489,-9.670,0.065
9.510,-9.689,0.095
9.530,-9.674,0.143
9.550,-9.620,0.203
9.570,-9.550,0.266
9.590,-9.480,0.319
9.610,-9.423,0.354
9.630,-9.384,0.365
9.650,-9.368,0.356
9.670,-9.378,0.326
9.690,-9.404,0.294
9.710,-9.446,0.265
9.730,-9.514,0.245
9.750,-9.605,0.233
9.770,-9.702,0.221
9.790,-9.800,0.195
9.810,-9.891,0.152
9.830,-9.969,0.089
9.850,-10.027,0.007
9.870,-10.077,-0.065
9.890,-10.124,-0.109
9.910,-10.164,-0.121
9.930,-10.194,-0.091
9.950,-10.213,-0.012
9.970,-10.214,0.077
9.990,-10.183,0.160
10.010,-10.128,0.229
10.030,-10.062,0.267
10.050,-9.991,0.266
10.070,-9.928,0.242
10.090,-9.903,0.205
10.110,-9.913,0.154
10.130,-9.948,0.096
10.150,-10.006,0.033
10.170,-10.071,-0.038
10.190,-10.122,-0.136
10.210,-10.156,-0.251
10.230,-10.177,-0.372
10.250,-10.186,-0.494
10.270,-10.196,-0.608
10.290,-10.212,-0.693
10.310,-10.235,-0.746
10.330,-10.261,-0.778
10.350,-10.285,-0.790
10.370,-10.292,-0.771
10.390,-10.283,-0.721
10.410,-10.255,-0.650
10.430,-10.213,-0.562
10.450,-10.162,-0.474
10.470,-10.115,-0.407
10.490,-10.071,-0.383
10.511,-10.038,-0.395
10.531,-10.018,-0.430
10.551,-10.007,-0.479
10.571,-10.006,-0.535
10.591,-10.014,-0.583
10.611,-10.028,-0.615
10.631,-10.041,-0.634
10.651,-10.039,-0.630
10.671,-10.017,-0.601
10.691,-9.969,-0.554
10.711,-9.889,-0.503
10.731,-9.781,-0.466
10.751,-9.671,-0.455
10.771,-9.574,-0.466
10.791,-9.502,-0.493
10.811,-9.465,-0.525
10.831,-9.469,-0.535
10.851,-9.502,-0.515
10.871,-9.547,-0.472
10.891,-9.589,-0.414
10.911,-9.618,-0.349
10.931,-9.634,-0.306
10.951,-9.629,-0.289
10.971,-9.619,-0.293
10.991,-9.613,-0.310
11.011,-9.615,-0.332
11.031,-9.623,-0.348
11.051,-9.636,-0.357
11.071,-9.642,-0.362
11.091,-9.638,-0.359
11.111,-9.622,-0.357
11.131,-9.595,-0.355
11.151,-9.565,-0.353
11.171,-9.539,-0.350
11.191,-9.519,-0.358
11.211,-9.505,-0.368
11.231,-9.500,-0.379
11.251,-9.493,-0.391
11.271,-9.483,-0.401
11.291,-9.472,-0.406
11.311,-9.459,-0.405
11.331,-9.447,-0.400
11.351,-9.436,-0.393
11.371,-9.427,-0.388
11.391,-9.416,-0.389
11.411,-9.398,-0.401
11.431,-9.364,-0.420
11.451,-9.313,-0.446
11.471,-9.242,-0.473
11.491,-9.133,-0.491
11.512,-8.989,-0.498
11.532,-8.825,-0.501
11.552,-8.671,-0.490
11.572,-8.536,-0.461
11.592,-8.467,-0.417
11.612,-8.481,-0.350
11.632,-8.563,-0.252
11.652,-8.669,-0.137
11.672,-8.790,-0.015
11.692,-8.891,0.107
11.712,-8.941,0.214
11.732,-8.947,0.296
11.752,-8.934,0.353
11.772,-8.907,0.386
