time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
515571,-19.96,3.60,0.55,0.138672,-0.436035,0.864258,-8.36,-26.21
515571,-19.96,3.60,0.55,0.138672,-0.436035,0.864258,-8.34,-26.26
515571,-19.71,3.48,0.49,0.138184,-0.431152,0.863281,-8.32,-26.29
515571,-19.71,3.48,0.49,0.138184,-0.431152,0.863281,-8.30,-26.31
515571,-19.47,3.30,0.55,0.138184,-0.425781,0.862305,-8.29,-26.31
515571,-19.47,3.30,0.55,0.138184,-0.425781,0.862305,-8.27,-26.31
515571,-19.35,3.05,0.61,0.138672,-0.419922,0.861816,-8.27,-26.28
515579,-19.35,3.05,0.61,0.138672,-0.419922,0.861816,-8.26,-26.26
515579,-19.23,2.81,0.67,0.139648,-0.416016,0.861328,-8.26,-26.22
515579,-19.23,2.81,0.67,0.139648,-0.416016,0.861328,-8.26,-26.18
515579,-19.10,2.62,0.79,0.141113,-0.414063,0.861816,-8.26,-26.13
515579,-19.10,2.62,0.79,0.141113,-0.414063,0.861816,-8.27,-26.08
515579,-19.10,2.38,0.85,0.143066,-0.413574,0.861816,-8.28,-26.03
515579,-19.10,2.26,0.85,0.144043,-0.413574,0.861328,-8.30,-25.99
515588,-19.10,2.26,0.85,0.144043,-0.413574,0.861328,-8.32,-25.95
515588,-19.17,2.14,0.79,0.145508,-0.413086,0.861328,-8.34,-25.91
515588,-19.17,2.14,0.79,0.145508,-0.413086,0.861328,-8.37,-25.87
515588,-19.35,1.95,0.61,0.146484,-0.411621,0.859863,-8.39,-25.84
515588,-19.35,1.95,0.61,0.146484,-0.411621,0.859863,-8.42,-25.80
515588,-19.53,1.83,0.43,0.147461,-0.411621,0.859863,-8.45,-25.77
515590,-19.53,1.83,0.43,0.147461,-0.411621,0.859863,-8.48,-25.74
515597,-19.65,1.77,0.31,0.147461,-0.413574,0.859375,-8.50,-25.72
515597,-19.65,1.77,0.31,0.147461,-0.413574,0.859375,-8.53,-25.71
515597,-19.84,1.77,0.31,0.146973,-0.415527,0.859863,-8.55,-25.70
515597,-19.84,1.77,0.31,0.146973,-0.415527,0.859863,-8.57,-25.69
515597,-19.96,1.77,0.31,0.143555,-0.420410,0.858887,-8.57,-25.70
515597,-19.96,1.77,0.31,0.143555,-0.420410,0.858887,-8.57,-25.72
515597,-20.02,1.83,0.31,0.144043,-0.422852,0.858398,-8.57,-25.74
515600,-20.02,1.83,0.31,0.144043,-0.422852,0.858398,-8.57,-25.77
515600,-20.02,1.83,0.31,0.145020,-0.425293,0.858398,-8.57,-25.81
515607,-20.02,1.83,0.31,0.145020,-0.425293,0.858398,-8.57,-25.84
515607,-19.96,1.89,0.24,0.147461,-0.427734,0.858398,-8.58,-25.88
515607,-19.96,1.89,0.24,0.147461,-0.427734,0.858398,-8.59,-25.92
515607,-19.84,2.01,0.18,0.151855,-0.428223,0.859863,-8.61,-25.96
515607,-19.84,2.01,0.18,0.151855,-0.428223,0.859863,-8.63,-25.99
515607,-19.71,2.14,0.12,0.152832,-0.427734,0.860840,-8.66,-26.02
